,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
0,RB50392,Washington,F,Master,793690.0,0.0,1000.0,0,Personal Auto,Four-Door Car,2.704934
1,QZ44356,Arizona,F,Bachelor,697953.59,0.0,94.0,0,Personal Auto,Four-Door Car,1131.464935
2,AI49188,Nevada,F,Bachelor,1288743.17,48767.0,108.0,0,Personal Auto,Two-Door Car,566.472247
3,WW63253,California,M,Bachelor,764586.18,0.0,106.0,0,Corporate Auto,SUV,529.881344
4,GA49547,Washington,M,High School or Below,536307.65,36357.0,68.0,0,Personal Auto,Four-Door Car,17.269323
5,OC83172,Oregon,F,Bachelor,825629.78,62902.0,69.0,0,Personal Auto,Two-Door Car,159.383042
6,XZ87318,Oregon,F,College,538089.86,55350.0,67.0,0,Corporate Auto,Four-Door Car,321.6
7,CF85061,Arizona,M,Master,721610.03,0.0,101.0,0,Corporate Auto,Four-Door Car,363.02968
8,DY87989,Oregon,M,Bachelor,2412750.4,14072.0,71.0,0,Corporate Auto,Four-Door Car,511.2
9,BQ94931,Oregon,F,College,738817.81,28812.0,93.0,0,Special Auto,Four-Door Car,425.527834
10,SX51350,California,M,College,473899.2,0.0,67.0,0,Personal Auto,Four-Door Car,482.4
11,VQ65197,California,F,College,819719.71,0.0,110.0,0,Personal Auto,SUV,528.0
12,DP39365,California,F,Master,879879.7,77026.0,110.0,2,Corporate Auto,Four-Door Car,472.029737
14,IL66569,California,F,College,538443.17,83689.0,70.0,2,Corporate Auto,Four-Door Car,307.139132
15,BW63560,Oregon,F,Bachelor,746313.94,24599.0,64.0,1,Corporate Auto,Four-Door Car,42.920271
16,FV94802,Nevada,F,High School or Below,256686.78,25049.0,67.0,0,Personal Auto,Two-Door Car,454.245098
17,OE15005,California,F,College,394524.16,28855.0,101.0,0,Personal Auto,SUV,647.442031
18,WC83389,Oregon,F,College,571033.31,51148.0,72.0,0,Personal Auto,Four-Door Car,308.981664
19,FL50705,California,F,High School or Below,816261.71,66140.0,101.0,0,Corporate Auto,Four-Door Car,484.8
20,ZK25313,Oregon,F,High School or Below,287205.13,57749.0,74.0,0,Personal Auto,Two-Door Car,355.2
21,QK46697,Washington,M,Bachelor,617710.93,61040.0,79.0,1,Personal Auto,Two-Door Car,20.382876
23,TZ98966,Nevada,F,Bachelor,245019.1,0.0,73.0,3,Corporate Auto,Four-Door Car,554.376763
24,HM55802,California,F,Bachelor,239210.79,17870.0,61.0,0,Corporate Auto,Four-Door Car,439.2
25,FS42516,Oregon,F,College,580206.6,97541.0,72.0,0,Personal Auto,Four-Door Car,389.185006
26,US89481,California,F,Bachelor,394637.21,0.0,111.0,0,Personal Auto,Four-Door Car,799.2
27,HS14476,Washington,M,College,916206.32,29723.0,80.0,0,Personal Auto,Four-Door Car,20.985105
28,GE62437,Arizona,F,College,1290256.01,86584.0,111.0,2,Personal Auto,Four-Door Car,532.8
29,EJ77678,Oregon,F,Master,323536.05,75690.0,80.0,1,Personal Auto,Four-Door Car,384.0
30,SV85652,Arizona,F,College,245458.35,23158.0,63.0,1,Personal Auto,Four-Door Car,322.294043
31,UL64533,Nevada,F,High School or Below,1897545.61,65999.0,237.0,0,Corporate Auto,Luxury,615.927769
32,PF41800,California,F,Bachelor,471532.13,0.0,65.0,0,Personal Auto,Four-Door Car,308.15089
33,HD95276,Washington,F,College,473787.17,0.0,130.0,0,Personal Auto,SUV,23.820158
34,SK67821,Oregon,F,Bachelor,493291.63,37260.0,62.0,0,Corporate Auto,Four-Door Car,15.437681
35,YV55495,Arizona,F,High School or Below,574422.97,68987.0,71.0,0,Personal Auto,Four-Door Car,204.475147
36,KY38074,California,F,Bachelor,1389173.57,42305.0,117.0,0,Personal Auto,Four-Door Car,561.6
37,DM79012,Oregon,F,Master,738097.67,65706.0,91.0,0,Personal Auto,Four-Door Car,436.8
